,count
42450434,6604
42450341,3615
42440935,3358
1241742743,3506
42421982,2686
7050687060,2984
42442410,2628
42442415,3450
42439464,4033
42429999,2765
42433834,655
42421941,1261
42453902,3250
42429844,3916
42454798,4334
42427251,4009
42440350,4679
42440270,5932
42444271,5729
42427764,3875
42428310,1820
42456598,8871
42438963,3698
42430474,3348
42439178,8019
13205862052,7495
13205862058,8856
13205862060,11892
42445039,6282
42430742,2798
42430739,4598
42430736,2240
8840333851,2983
42445479,848
4557517552,11277
387180916,11381
42431078,2218
42431067,2375
42431057,2325
42428022,5322
42428024,4793
42428027,4598
42428029,4123
42428032,3792
42428034,3218
42445757,362
42436556,256
1061531509,10308
42428575,10453
42445033,6063
42421806,3903
42442475,3647
42421745,3575
42442575,2030
42437142,1783
1061531757,2704
42428637,4858
42450044,5145
42447166,4562
42434169,1157
42444495,2064
42448317,10073
596775946,7587
1773084402,24398
4779073680,2850
42424025,10373
371209940,5770
371239958,5770
42425681,5740
6266152785,5730
5920675990,5002
6511274595,5124
371337150,5122
371337197,2263
371337250,2263
589927903,1744
371337269,1740
60925389,1740
373780963,1221
595484175,1216
595481001,1215
42423116,468
42442728,418
42455252,309
42433060,366
42433058,319
42433057,269
42433046,279
42429466,295
42433044,293
42433043,290
42428984,375
42427143,338
42427139,358
42427136,419
42445286,114
42434074,21944
13205862062,8995
13205862064,8682
42430898,16188
42442857,10066
42434142,11111
42446455,4295
42454679,4293
42436619,819
42434895,451
42430479,437
42438949,473
42447176,483
42445259,508
42447174,592
42447169,910
42447084,3010
42439559,6714
42445387,5918
1061531491,8644
42428268,755
4597668033,5762
4597668043,6588
4597668042,5547
4597668029,5603
42431089,2234
42428376,3442
42438155,1955
42453934,2071
8840333846,2907
42454401,2011
370912817,12784
42423774,13766
42426865,13686
7137281959,8270
7137281963,4633
596776032,6001
596775963,3794
596775998,4091
42435497,5198
42431107,4343
42431106,4392
42431096,3283
42431094,2257
42441521,262
42437929,2969
7541804762,2975
2481877071,2990
7541804761,3183
42437801,2253
42439588,1150
42432954,1084
42432955,1090
42432956,1102
42432957,1131
42432960,1352
42432961,1638
42432963,1836
4205440426,706
42432967,665
42448661,60
42439210,76
42436056,3127
42436055,1375
42436050,686
42430519,664
42430521,233
42430540,62
42430535,728
42443413,1471
42432744,1551
42440639,1307
42432818,11977
42455934,4751
4597668040,19209
4597668039,18978
4597668028,18756
4597668038,17506
4597668026,23167
42428491,17053
6166333257,575
42426816,553
42453999,2981
42445664,1163
42430068,5154
42433229,5856
42431111,3973
42428737,2470
1061531802,1958
42442577,1375
42442578,1228
1504153626,1405
42428483,14854
42428480,15166
42428476,13350
42428473,13379
42428471,8731
42428468,8966
42428464,8870
42428460,14012
42428458,15344
42428454,7205
1692433919,12698
42428277,9683
42448203,1850
42439389,1737
42452951,1855
42434201,11808
42442851,9540
42442848,10203
42437333,9213
1773084405,16985
42431168,17310
42431165,16358
42445534,15084
42424672,2134
42448329,2184
3551738975,18
42438849,1682
42434360,2287
42437529,1010
596776165,650
42425127,859
42438961,1021
42453575,1047
370880739,1520
4145735059,1169
205020852,1162
370880758,152
42421951,210
42444223,224
42444230,233
42444242,288
42427256,228
42440356,267
42440353,272
427845226,242
427845236,175
6636032331,125
6656258478,122
42430629,2627
6656315591,2487
6339939226,2482
42430607,2760
4557517555,5397
42429394,13053
11728146527,2805
42429390,3216
6211332483,3175
42452630,233
42421946,185
42428447,11647
42448552,5740
5799117244,5243
42433581,6219
1919595926,4838
42433578,4806
42433577,2350
6185259892,1903
42428049,2104
42434092,5573
595105581,2729
248708583,2759
3829675223,2675
371188756,13655
371207282,13552
4779073677,9406
42445263,5219
42456091,5167
42438973,5028
42430488,5256
42434910,4487
42436630,4423
42456101,4377
42450468,4338
42436653,2889
42456107,2727
42434389,2432
42456110,2287
42449427,1882
42445426,1838
42435400,1714
42456115,2126
42436746,4184
42445404,3153
3785586743,393
42423565,470
42444491,2938
42434168,2042
42457660,5219
42446353,13141
596775840,6965
100522741,9307
42434085,7696
100522728,6685
4491359481,10938
42446800,595
42446825,965
42431629,1455
5333189426,576
42425758,547
373772209,545
5333189427,286
42424551,299
42424531,299
589927878,258
2141002593,261
5916527828,213
371337227,214
589927921,211
2140997998,211
2140994070,211
371337241,345
42439802,345
4515465264,358
42427894,114
42427891,89
42442843,7745
42442842,13824
42442838,6511
42442836,5022
1773082410,9568
42437612,14309
42457325,6123
42432308,11005
42435491,5840
42445511,13133
42457319,5397
42448558,6445
42436788,4524
42430749,2067
2061592973,2522
42421985,3144
42430981,2994
42430983,3119
42430984,2787
42430985,3090
42442417,2459
1733614298,2327
42442422,2703
9177424867,6788
9177424868,2054
42432060,5907
7480301866,15967
5798966629,11132
1773084410,12339
1773084391,13728
1773084407,15076
42440545,8582
42440553,10737
42436793,7986
42432191,26169
42432194,27635
42432199,25101
42432201,25173
42432205,17379
42432208,17530
42444964,10731
42436134,949
42436135,962
42436139,798
42436142,2604
42436146,4083
